Pair,D,I,Expansion,Stability,Unfilling,p_D,p_I,p_Expansion,p_Stability,p_Unfilling,,,
z1_z10,0.269303649,0.481701391,0.005377269,0.994622731,0.202559515,0.930693069,0.95049505,0.702970297,0.702970297,1,,z1,apis cerana
z1_z11,0.616208119,0.759419807,0.019809972,0.980190028,0.230509434,1,1,1,1,1,,z2,Apis mellifera
z1_z12,0.072167761,0.123191852,0.083409923,0.916590077,0.49156271,1,1,1,1,1,,z3,Vespa crabro
z1_z13,0.026245543,0.157569228,0,1,0.691733699,1,1,0.415841584,0.415841584,1,,z4,Vespa mandarinia
z1_z14,0.261502046,0.403229322,0.018147692,0.981852308,0.045159696,1,1,1,1,1,,z5,Vespa simillima
z1_z2,0.635623254,0.737653597,0.094650784,0.905349216,0.07337755,1,1,1,1,1,,z6,Vespa velutina
z1_z3,0.066272095,0.212107128,0.005136559,0.994863441,0.686333929,1,1,0.653465347,0.653465347,1,,z7,Vespa affinis
z1_z4,0.122131015,0.275422224,0.063831928,0.936168072,0.7711871,1,1,1,1,1,,z8,Vespa analis
z1_z5,0.100045624,0.1716606,0.024230138,0.975769862,0.702991263,1,1,1,1,1,,z9,Vespa basalis
z1_z6,0.740926462,0.88399734,0.002842564,0.997157436,0.021134894,0.326732673,0.287128713,0.603960396,0.603960396,0.841584158,,z10,Vespa bicolor
z1_z7,0.16350333,0.355737703,0.005164497,0.994835503,0.123784372,1,1,0.603960396,0.603960396,1,,z11,Vespa ducalis
z1_z8,0.324859726,0.481110304,0.048647987,0.951352013,0.064126232,1,1,1,1,1,,z12,Vespa dybowskii
z1_z9,0.591354333,0.748855335,0.021889691,0.978110309,0.065889412,1,1,1,1,0.97029703,,z13,Vespa soror
z10_z11,0.200548404,0.256483696,0.113606159,0.886393841,0.098635317,1,1,1,1,1,,z14,Vespa tropica
z10_z12,0.049800443,0.0863881,0.174383912,0.825616088,0.612762007,1,1,1,1,1,,,
z10_z13,0.051958348,0.222003336,0,1,0.406562717,1,1,0.03960396,0.03960396,1,,,
z10_z14,0.200175462,0.262984453,0.328917071,0.671082929,0.099612274,0.99009901,1,1,1,1,,,
z11_z12,0.166261948,0.289891833,0.057563074,0.942436926,0.194619843,1,1,0.99009901,0.99009901,1,,,
z11_z13,0.021075343,0.123922664,0.007222077,0.992777923,0.64544837,1,1,0.396039604,0.396039604,1,,,
z11_z14,0.11609691,0.195142665,0.421195449,0.578804551,0.089920601,1,1,1,1,1,,,
z12_z13,0.017422003,0.069439482,0.613595619,0.386404381,0.832462039,1,1,1,1,1,,,
z12_z14,0.037380675,0.076612668,0.721180306,0.278819694,0.188370414,1,1,1,1,1,,,
z13_z14,0.034785005,0.178918043,0.697561582,0.302438418,0,1,1,1,1,0.148514851,,,
z2_z10,0.29076746,0.460096402,0.033542233,0.966457767,0.232925562,0.96039604,0.97029703,0.97029703,0.97029703,1,,,
z2_z11,0.632538892,0.79784608,0,1,0.188448524,0.97029703,0.96039604,0.02970297,0.02970297,1,,,
z2_z12,0.140187875,0.324885781,0.006622358,0.993377642,0.271024756,0.98019802,1,0.831683168,0.831683168,1,,,
z2_z13,0.008763717,0.078113418,0,1,0.841744277,1,1,0.326732673,0.326732673,1,,,
z2_z14,0.10742023,0.16580312,0.173995345,0.826004655,0.237161243,1,1,1,1,1,,,
z2_z3,0.095227127,0.279300069,0,1,0.524844292,1,1,0.00990099,0.00990099,1,,,
z2_z4,0.15635054,0.340526511,0,1,0.669821209,1,1,0.316831683,0.316831683,1,,,
z2_z5,0.212985541,0.43092986,0,1,0.528103566,1,1,0.069306931,0.069306931,1,,,
z2_z6,0.545401513,0.702412883,0.058003087,0.941996913,0.124512647,1,1,1,1,1,,,
z2_z7,0.053860478,0.123892272,0.099492165,0.900507835,0.368354595,1,1,1,1,1,,,
z2_z8,0.424029083,0.610982839,0.044751328,0.955248672,0.110742719,0.99009901,1,1,1,1,,,
z2_z9,0.526874589,0.675342127,0.125946678,0.874053322,0.20369644,1,1,1,1,1,,,
z3_z10,0.075142888,0.16496802,0.888224757,0.111775243,0.029820606,1,1,1,1,0.267326733,,,
z3_z11,0.13589241,0.306807567,0.433864906,0.566135094,0.006209057,1,1,1,1,0.108910891,,,
z3_z12,0.333483522,0.519243579,0.346220907,0.653779093,0,1,1,1,1,0.00990099,,,
z3_z13,0.069385505,0.122734517,0.800522538,0.199477462,0.9000252,1,1,1,1,1,,,
z3_z14,0.032643088,0.12139172,0.905192066,0.094807934,0.022945791,1,1,1,1,0.455445545,,,
z3_z4,0.515742496,0.7038576,0.271832441,0.728167559,0.4681497,1,1,1,1,1,,,
z3_z5,0.352392526,0.512940976,0.04887513,0.95112487,0.05284078,0.95049505,0.99009901,0.99009901,0.99009901,0.920792079,,,
z3_z6,0.076274181,0.212995246,0.700766934,0.299233066,0.009246482,1,1,1,1,0.158415842,,,
z3_z7,0.043276947,0.129584574,0.937805881,0.062194119,0.038981692,1,1,1,1,0.871287129,,,
z3_z8,0.231575419,0.428134988,0.462177562,0.537822438,0,1,1,1,1,0.00990099,,,
z3_z9,0.016913649,0.080460201,0.823944501,0.176055499,0.016507255,1,1,1,1,0.178217822,,,
z4_z10,0.20276457,0.315801553,0.863847211,0.136152789,0.214475575,1,1,1,1,1,,,
z4_z11,0.215679888,0.396170151,0.41963389,0.58036611,0.013837939,1,1,1,1,0.811881188,,,
z4_z12,0.4018594,0.557598008,0.489053605,0.510946395,0.004365479,0.683168317,0.801980198,1,1,0.217821782,,,
z4_z13,0.055191025,0.147612871,0.773569024,0.226430976,0.596501756,1,1,1,1,1,,,
z4_z14,0.104924017,0.221159978,0.929179498,0.070820502,0.212574767,1,1,1,1,1,,,
z4_z5,0.533501473,0.655654111,0.563896109,0.436103891,0.727073883,1,1,1,1,1,,,
z4_z6,0.135206146,0.274111062,0.738737976,0.261262024,0.100098141,1,1,1,1,1,,,
z4_z7,0.067300194,0.152385408,0.956370773,0.043629227,0.365544627,1,1,1,1,1,,,
z4_z8,0.337430692,0.513509389,0.494326087,0.505673913,0,0.97029703,0.97029703,1,1,0.306930693,,,
z4_z9,0.030562394,0.096885898,0.78471698,0.21528302,0.093011676,1,1,1,1,0.98019802,,,
z5_z10,0.096821886,0.158811306,0.886353987,0.113646013,0.055993875,1,1,1,1,0.782178218,,,
z5_z11,0.243166815,0.388605505,0.595215703,0.404784297,0.040802251,1,1,1,1,1,,,
z5_z12,0.548301909,0.714535793,0.394191555,0.605808445,0.004860254,1,1,1,1,0.01980198,,,
z5_z13,0.028525681,0.092233431,0.864448467,0.135551533,0.908164704,1,1,1,1,1,,,
z5_z14,0.051785287,0.109190617,0.895348915,0.104651085,0.061820113,1,1,1,1,0.99009901,,,
z5_z6,0.108067708,0.170682787,0.726945413,0.273054587,0.023545662,1,1,1,1,0.821782178,,,
z5_z7,0.063281836,0.125544671,0.92245561,0.07754439,0.076463522,1,1,1,1,0.97029703,,,
z5_z8,0.469127799,0.67080476,0.564893292,0.435106708,0.009629469,1,1,1,1,0.415841584,,,
z5_z9,0.047592353,0.100107395,0.873005909,0.126994091,0.071029392,1,1,1,1,0.96039604,,,
z6_z10,0.218488929,0.346826692,0.033898487,0.966101513,0.174019207,0.96039604,0.97029703,0.841584158,0.841584158,1,,,
z6_z11,0.74549429,0.829848312,0.03082137,0.96917863,0.178918485,0.95049505,0.98019802,0.920792079,0.920792079,1,,,
z6_z12,0.081852907,0.125611428,0.09670736,0.90329264,0.467069436,1,1,1,1,1,,,
z6_z13,0.039635342,0.190428007,0,1,0.611001731,1,1,0.316831683,0.316831683,1,,,
z6_z14,0.239559296,0.338927072,0.087679718,0.912320282,0.043074458,1,1,1,1,0.95049505,,,
z6_z7,0.134141306,0.275019892,0.022444776,0.977555224,0.120212575,1,1,0.772277228,0.772277228,1,,,
z6_z8,0.249824643,0.398678771,0.056766432,0.943233568,0.03944304,1,1,1,1,0.99009901,,,
z6_z9,0.647843638,0.772486851,0.054137058,0.945862942,0.051252056,0.920792079,0.930693069,0.99009901,0.99009901,0.772277228,,,
z7_z10,0.125050405,0.219520471,0.159409635,0.840590365,0.220876232,1,1,1,1,1,,,
z7_z11,0.063494767,0.1329172,0.227444923,0.772555077,0.337032062,1,1,1,1,1,,,
z7_z12,0.048056496,0.089289431,0.324551671,0.675448329,0.744432941,1,1,1,1,1,,,
z7_z13,0.159029275,0.381827015,0,1,0.534938999,1,1,0.069306931,0.069306931,1,,,
z7_z14,0.369847396,0.541111944,0.07735003,0.92264997,0.007631662,0.881188119,0.930693069,1,1,0.287128713,,,
z7_z8,0.137933044,0.293706249,0.239826315,0.760173685,0.060464268,1,1,1,1,1,,,
z7_z9,0.059272432,0.16759079,0.286363111,0.713636889,0.048200028,1,1,1,1,0.930693069,,,
z8_z10,0.235185149,0.359895858,0.031121762,0.968878238,0.222233522,1,1,0.900990099,0.900990099,1,,,
z8_z11,0.435842949,0.57297553,0.001882403,0.998117597,0.129790339,0.99009901,1,0.089108911,0.089108911,1,,,
z8_z12,0.374422683,0.598675553,0.005320079,0.994679921,0.212926368,0.930693069,0.930693069,0.455445545,0.455445545,1,,,
z8_z13,0.024900312,0.128573279,0,1,0.754863776,1,1,0.227722772,0.227722772,1,,,
z8_z14,0.160350683,0.246771039,0.164512671,0.835487329,0.128246449,1,1,1,1,1,,,
z8_z9,0.302820999,0.452133236,0.06437282,0.93562718,0.098864597,1,1,1,1,0.99009901,,,
z9_z10,0.096005743,0.154605933,0.103900287,0.896099713,0.412158464,1,1,1,1,1,,,
z9_z11,0.632411991,0.765811703,0.044614998,0.955385002,0.320590254,1,1,0.930693069,0.930693069,1,,,
z9_z12,0.025257924,0.062269959,0.136709609,0.863290391,0.64429696,1,1,1,1,1,,,
z9_z13,0.002721388,0.048001906,0,1,0.833844831,1,1,0.138613861,0.138613861,1,,,
z9_z14,0.112836817,0.170607686,0.150062976,0.849937024,0.157372479,1,1,1,1,1,,,
