Pair,D,I,Expansion,Stability,Unfilling,p_D,p_I,p_Expansion,p_Stability,p_Unfilling
z1_z10,0.269303649,0.481701391,0.005377269,0.994622731,0.202559515,0.178217822,0.168316832,0.079207921,0.079207921,0.00990099
z1_z11,0.616208119,0.759419807,0.019809972,0.980190028,0.230509434,0.01980198,0.01980198,0.267326733,0.267326733,0.188118812
z1_z12,0.072167761,0.123191852,0.083409923,0.916590077,0.49156271,0.306930693,0.356435644,0.297029703,0.297029703,0.237623762
z1_z13,0.026245543,0.157569228,0,1,0.691733699,0.168316832,0.178217822,0.316831683,0.316831683,0.089108911
z1_z14,0.261502046,0.403229322,0.018147692,0.981852308,0.045159696,0.316831683,0.316831683,0.03960396,0.03960396,0.059405941
z1_z2,0.635623254,0.737653597,0.094650784,0.905349216,0.07337755,0.03960396,0.079207921,0.435643564,0.435643564,0.168316832
z1_z3,0.066272095,0.212107128,0.063534621,0.936465379,0.541893201,0.306930693,0.257425743,0.297029703,0.297029703,0.227722772
z1_z4,0.122131015,0.275422224,0.028623071,0.971376929,0.322060657,0.277227723,0.257425743,0.306930693,0.306930693,0.118811881
z1_z5,0.100045624,0.1716606,0.08617217,0.91382783,0.494147605,0.316831683,0.336633663,0.316831683,0.316831683,0.207920792
z1_z6,0.740926462,0.88399734,0.001741123,0.998258877,0.033351212,0.01980198,0.02970297,0.02970297,0.02970297,0.02970297
z1_z7,0.16350333,0.355737703,0.005164497,0.994835503,0.123784372,0.425742574,0.356435644,0.089108911,0.089108911,0.059405941
z1_z8,0.324859726,0.481110304,0.048647987,0.951352013,0.064126232,0.247524752,0.257425743,0.207920792,0.207920792,0.148514851
z1_z9,0.591354333,0.748855335,0.021889691,0.978110309,0.065889412,0.01980198,0.03960396,0.237623762,0.237623762,0.00990099
z10_z11,0.200548404,0.256483696,0.113606159,0.886393841,0.098635317,0.257425743,0.287128713,0.02970297,0.02970297,0.158415842
z10_z12,0.049800443,0.0863881,0.174383912,0.825616088,0.612762007,0.465346535,0.465346535,0.168316832,0.168316832,0.396039604
z10_z13,0.051958348,0.222003336,0,1,0.406562717,0.277227723,0.237623762,0.079207921,0.079207921,0.069306931
z10_z14,0.200175462,0.262984453,0.328917071,0.671082929,0.099612274,0.257425743,0.386138614,0.198019802,0.198019802,0.316831683
z11_z12,0.166261948,0.289891833,0.057563074,0.942436926,0.194619843,0.188118812,0.148514851,0.079207921,0.079207921,0.089108911
z11_z13,0.021075343,0.123922664,0.007222077,0.992777923,0.64544837,0.158415842,0.138613861,0.069306931,0.069306931,0.198019802
z11_z14,0.11609691,0.195142665,0.421195449,0.578804551,0.089920601,0.376237624,0.425742574,0.277227723,0.277227723,0.237623762
z12_z13,0.017422003,0.069439482,0.613595619,0.386404381,0.832462039,0.227722772,0.217821782,0.297029703,0.297029703,0.237623762
z12_z14,0.037380675,0.076612668,0.721180306,0.278819694,0.188370414,0.504950495,0.544554455,0.465346535,0.465346535,0.405940594
z13_z14,0.034785005,0.178918043,0.697561582,0.302438418,0,0.277227723,0.287128713,0.168316832,0.168316832,0.316831683
z2_z10,0.29076746,0.460096402,0.033542233,0.966457767,0.232925562,0.287128713,0.267326733,0.257425743,0.257425743,0.217821782
z2_z11,0.632538892,0.79784608,0,1,0.188448524,0.00990099,0.00990099,0.01980198,0.01980198,0.168316832
z2_z12,0.140187875,0.324885781,0.006622358,0.993377642,0.271024756,0.405940594,0.386138614,0.168316832,0.168316832,0.277227723
z2_z13,0.008763717,0.078113418,0,1,0.841744277,0.405940594,0.386138614,0.326732673,0.326732673,0.287128713
z2_z14,0.10742023,0.16580312,0.173995345,0.826004655,0.237161243,0.584158416,0.603960396,0.435643564,0.435643564,0.435643564
z2_z3,0.095227127,0.279300069,0.000100365,0.999899635,0.200218839,0.445544554,0.326732673,0.099009901,0.099009901,0.108910891
z2_z4,0.15635054,0.340526511,0.003054942,0.996945058,0.246717404,0.346534653,0.316831683,0.00990099,0.00990099,0.178217822
z2_z5,0.212985541,0.43092986,0.005408836,0.994591164,0.274989938,0.277227723,0.237623762,0.108910891,0.108910891,0.188118812
z2_z6,0.545401513,0.702412883,0.036476627,0.963523373,0.136797715,0.02970297,0.089108911,0.108910891,0.108910891,0.277227723
z2_z7,0.053860478,0.123892272,0.099492165,0.900507835,0.368354595,0.564356436,0.564356436,0.336633663,0.336633663,0.336633663
z2_z8,0.424029083,0.610982839,0.044751328,0.955248672,0.110742719,0.198019802,0.207920792,0.128712871,0.128712871,0.287128713
z2_z9,0.526874589,0.675342127,0.125946678,0.874053322,0.20369644,0.089108911,0.108910891,0.257425743,0.257425743,0.059405941
z3_z10,0.075142888,0.16496802,0.665574663,0.334425337,0.122045602,0.455445545,0.415841584,0.475247525,0.475247525,0.217821782
z3_z11,0.13589241,0.306807567,0.231719189,0.768280811,0.096196492,0.217821782,0.138613861,0.099009901,0.099009901,0.188118812
z3_z12,0.333483522,0.519243579,0.068871092,0.931128908,0.090977512,0.138613861,0.138613861,0.02970297,0.02970297,0.178217822
z3_z13,0.069385505,0.122734517,0.697437493,0.302562507,0.855008568,0.198019802,0.297029703,0.346534653,0.346534653,0.237623762
z3_z14,0.032643088,0.12139172,0.795669959,0.204330041,0.129746952,0.594059406,0.514851485,0.514851485,0.514851485,0.495049505
z3_z4,0.515742496,0.7038576,0.071042801,0.928957199,0.087405668,0.04950495,0.059405941,0.02970297,0.02970297,0.178217822
z3_z5,0.352392526,0.512940976,0.073170513,0.926829487,0.092707631,0.168316832,0.188118812,0.069306931,0.069306931,0.277227723
z3_z6,0.076274181,0.212995246,0.397976728,0.602023272,0.091698182,0.297029703,0.257425743,0.217821782,0.217821782,0.366336634
z3_z7,0.043276947,0.129584574,0.838146124,0.161853876,0.188624845,0.435643564,0.405940594,0.495049505,0.495049505,0.376237624
z3_z8,0.231575419,0.428134988,0.257223781,0.742776219,0.056894612,0.188118812,0.158415842,0.089108911,0.089108911,0.366336634
z3_z9,0.016913649,0.080460201,0.700923334,0.299076666,0.131468881,0.316831683,0.297029703,0.425742574,0.425742574,0.118811881
z4_z10,0.20276457,0.315801553,0.288093947,0.711906053,0.077851601,0.277227723,0.287128713,0.356435644,0.356435644,0.168316832
z4_z11,0.215679888,0.396170151,0.134909308,0.865090692,0.031290608,0.178217822,0.128712871,0.069306931,0.069306931,0.02970297
z4_z12,0.4018594,0.557598008,0.042971581,0.957028419,0.060507833,0.099009901,0.128712871,0.04950495,0.04950495,0.148514851
z4_z13,0.055191025,0.147612871,0.173335296,0.826664704,0.770167962,0.168316832,0.198019802,0.227722772,0.227722772,0.237623762
z4_z14,0.104924017,0.221159978,0.491001516,0.508998484,0.0768456,0.435643564,0.405940594,0.376237624,0.376237624,0.346534653
z4_z5,0.533501473,0.655654111,0.036917332,0.963082668,0.066800054,0.089108911,0.108910891,0.04950495,0.04950495,0.118811881
z4_z6,0.135206146,0.274111062,0.219282726,0.780717274,0.04891905,0.188118812,0.138613861,0.089108911,0.089108911,0.118811881
z4_z7,0.067300194,0.152385408,0.418771512,0.581228488,0.169758329,0.495049505,0.465346535,0.415841584,0.415841584,0.346534653
z4_z8,0.337430692,0.513509389,0.190404981,0.809595019,0.006304211,0.148514851,0.138613861,0.089108911,0.089108911,0.118811881
z4_z9,0.030562394,0.096885898,0.541886366,0.458113634,0.071806183,0.326732673,0.267326733,0.287128713,0.287128713,0.02970297
z5_z10,0.096821886,0.158811306,0.580575071,0.419424929,0.184908225,0.316831683,0.326732673,0.366336634,0.366336634,0.207920792
z5_z11,0.243166815,0.388605505,0.172144623,0.827855377,0.070030504,0.099009901,0.099009901,0.089108911,0.089108911,0.059405941
z5_z12,0.548301909,0.714535793,0.033162436,0.966837564,0.033589194,0.128712871,0.128712871,0.04950495,0.04950495,0.079207921
z5_z13,0.028525681,0.092233431,0.630018667,0.369981333,0.763547144,0.188118812,0.217821782,0.435643564,0.435643564,0.306930693
z5_z14,0.051785287,0.109190617,0.723031486,0.276968514,0.156462858,0.504950495,0.485148515,0.495049505,0.495049505,0.336633663
z5_z6,0.108067708,0.170682787,0.341818954,0.658181046,0.108851112,0.306930693,0.366336634,0.247524752,0.247524752,0.316831683
z5_z7,0.063281836,0.125544671,0.745181463,0.254818537,0.243263002,0.396039604,0.396039604,0.475247525,0.475247525,0.277227723
z5_z8,0.469127799,0.67080476,0.20722746,0.79277254,0.009355917,0.069306931,0.059405941,0.099009901,0.099009901,0.168316832
z5_z9,0.047592353,0.100107395,0.618760975,0.381239025,0.151703828,0.247524752,0.237623762,0.376237624,0.376237624,0.079207921
z6_z10,0.218488929,0.346826692,0.041198703,0.958801297,0.118143134,0.178217822,0.247524752,0.178217822,0.178217822,0.02970297
z6_z11,0.74549429,0.829848312,0.038716012,0.961283988,0.119755523,0.00990099,0.03960396,0.247524752,0.247524752,0.099009901
z6_z12,0.081852907,0.125611428,0.109352404,0.890647596,0.344443331,0.316831683,0.346534653,0.207920792,0.207920792,0.128712871
z6_z13,0.039635342,0.190428007,0,1,0.621306701,0.168316832,0.158415842,0.207920792,0.207920792,0.089108911
z6_z14,0.239559296,0.338927072,0.104026142,0.895973858,0.029935549,0.267326733,0.277227723,0.128712871,0.128712871,0.079207921
z6_z7,0.134141306,0.275019892,0.031628144,0.968371856,0.104410511,0.435643564,0.405940594,0.108910891,0.108910891,0.108910891
z6_z8,0.249824643,0.398678771,0.080989715,0.919010285,0.025182132,0.386138614,0.405940594,0.188118812,0.188118812,0.099009901
z6_z9,0.647843638,0.772486851,0.097908999,0.902091001,0.033056231,0.02970297,0.069306931,0.297029703,0.297029703,0.00990099
z7_z10,0.125050405,0.219520471,0.159409635,0.840590365,0.220876232,0.356435644,0.386138614,0.267326733,0.267326733,0.188118812
z7_z11,0.063494767,0.1329172,0.227444923,0.772555077,0.337032062,0.544554455,0.504950495,0.336633663,0.336633663,0.336633663
z7_z12,0.048056496,0.089289431,0.324551671,0.675448329,0.744432941,0.455445545,0.475247525,0.445544554,0.445544554,0.475247525
z7_z13,0.159029275,0.381827015,0,1,0.534938999,0.069306931,0.03960396,0.138613861,0.138613861,0.079207921
z7_z14,0.369847396,0.541111944,0.07735003,0.92264997,0.007631662,0.148514851,0.178217822,0.02970297,0.02970297,0.059405941
z7_z8,0.137933044,0.293706249,0.239826315,0.760173685,0.060464268,0.445544554,0.425742574,0.237623762,0.237623762,0.247524752
z7_z9,0.059272432,0.16759079,0.286363111,0.713636889,0.048200028,0.534653465,0.485148515,0.346534653,0.346534653,0.00990099
z8_z10,0.235185149,0.359895858,0.031121762,0.968878238,0.222233522,0.188118812,0.227722772,0.188118812,0.188118812,0.069306931
z8_z11,0.435842949,0.57297553,0.001882403,0.998117597,0.129790339,0.069306931,0.089108911,0.04950495,0.04950495,0.079207921
z8_z12,0.374422683,0.598675553,0.005320079,0.994679921,0.212926368,0.118811881,0.108910891,0.217821782,0.217821782,0.207920792
z8_z13,0.024900312,0.128573279,0,1,0.754863776,0.306930693,0.297029703,0.326732673,0.326732673,0.287128713
z8_z14,0.160350683,0.246771039,0.164512671,0.835487329,0.128246449,0.425742574,0.455445545,0.217821782,0.217821782,0.118811881
z8_z9,0.302820999,0.452133236,0.06437282,0.93562718,0.098864597,0.128712871,0.128712871,0.118811881,0.118811881,0.00990099
z9_z10,0.096005743,0.154605933,0.103900287,0.896099713,0.412158464,0.386138614,0.386138614,0.059405941,0.059405941,0.316831683
z9_z11,0.632411991,0.765811703,0.044614998,0.955385002,0.320590254,0.03960396,0.069306931,0.00990099,0.00990099,0.306930693
z9_z12,0.025257924,0.062269959,0.136709609,0.863290391,0.64429696,0.356435644,0.336633663,0.059405941,0.059405941,0.396039604
z9_z13,0.002721388,0.048001906,0,1,0.833844831,0.158415842,0.118811881,0.01980198,0.01980198,0.336633663
z9_z14,0.112836817,0.170607686,0.150062976,0.849937024,0.157372479,0.603960396,0.653465347,0.00990099,0.00990099,0.425742574
